INFO  11:10:12,435 | james.imapserver | IMAP Service bound to: 0.0.0.0:143
INFO  11:10:12,449 | james.imapserver | IMAP Service is running on: DESKTOP-4FK5MIK
INFO  11:10:12,453 | james.imapserver | IMAP Service handler hello name is: DESKTOP-4FK5MIK
INFO  11:10:12,455 | james.imapserver | IMAP Service handler connection timeout is: 300
INFO  11:10:12,457 | james.imapserver | IMAP Service connection backlog is: 200
INFO  11:10:12,471 | james.imapserver | Init IMAP Service done
INFO  11:10:12,634 | james.imapserver | ID=1032351222 Connection established from 127.0.0.1
INFO  11:10:21,753 | james.imapserver | ID=1032351222 Connection closed for 127.0.0.1
INFO  11:10:21,760 | james.imapserver | ID=1730344221 Connection established from 127.0.0.1
INFO  11:10:22,032 | james.imapserver | ID=1730344221 Connection closed for 127.0.0.1
INFO  11:10:23,113 | james.imapserver | ID=1752450451 Connection established from 127.0.0.1
INFO  11:10:31,508 | james.imapserver | ID=1752450451 Connection closed for 127.0.0.1
INFO  11:10:33,998 | james.imapserver | ID=342948469 Connection established from 127.0.0.1
INFO  11:10:40,892 | james.imapserver | ID=814657973 Connection established from 127.0.0.1
INFO  11:10:43,964 | james.imapserver | ID=342948469 Connection closed for 127.0.0.1
INFO  11:10:43,972 | james.imapserver | ID=8854080 Connection established from 127.0.0.1
INFO  11:10:44,114 | james.imapserver | ID=8854080 Connection closed for 127.0.0.1
INFO  11:10:44,385 | james.imapserver | ID=1917369591 Connection established from 127.0.0.1
INFO  11:10:54,344 | james.imapserver | ID=1917369591 Connection closed for 127.0.0.1
INFO  11:10:54,351 | james.imapserver | ID=1071143511 Connection established from 127.0.0.1
INFO  11:10:54,498 | james.imapserver | ID=1071143511 Connection closed for 127.0.0.1
INFO  11:10:54,599 | james.imapserver | ID=1836048494 Connection established from 127.0.0.1
INFO  11:11:04,607 | james.imapserver | ID=1836048494 Connection closed for 127.0.0.1
INFO  11:11:04,620 | james.imapserver | ID=1490476544 Connection established from 127.0.0.1
INFO  11:11:04,754 | james.imapserver | ID=1490476544 Connection closed for 127.0.0.1
INFO  11:11:04,889 | james.imapserver | ID=1171607376 Connection established from 127.0.0.1
INFO  11:11:14,839 | james.imapserver | ID=1171607376 Connection closed for 127.0.0.1
INFO  11:11:14,844 | james.imapserver | ID=125843878 Connection established from 127.0.0.1
INFO  11:11:14,927 | james.imapserver | ID=125843878 Connection closed for 127.0.0.1
INFO  11:11:14,999 | james.imapserver | ID=1647040734 Connection established from 127.0.0.1
INFO  11:11:24,993 | james.imapserver | ID=1647040734 Connection closed for 127.0.0.1
INFO  11:11:24,999 | james.imapserver | ID=1264940948 Connection established from 127.0.0.1
INFO  11:11:25,058 | james.imapserver | ID=1264940948 Connection closed for 127.0.0.1
INFO  11:11:25,121 | james.imapserver | ID=658523481 Connection established from 127.0.0.1
INFO  11:11:35,107 | james.imapserver | ID=658523481 Connection closed for 127.0.0.1
INFO  11:11:35,113 | james.imapserver | ID=2076179654 Connection established from 127.0.0.1
INFO  11:11:35,173 | james.imapserver | ID=2076179654 Connection closed for 127.0.0.1
INFO  11:11:35,254 | james.imapserver | ID=1240001863 Connection established from 127.0.0.1
INFO  11:11:45,243 | james.imapserver | ID=1240001863 Connection closed for 127.0.0.1
INFO  11:11:45,255 | james.imapserver | ID=1628482933 Connection established from 127.0.0.1
INFO  11:11:45,321 | james.imapserver | ID=1628482933 Connection closed for 127.0.0.1
INFO  11:11:45,380 | james.imapserver | ID=1003999318 Connection established from 127.0.0.1
INFO  11:11:55,370 | james.imapserver | ID=1003999318 Connection closed for 127.0.0.1
INFO  11:11:55,378 | james.imapserver | ID=1404026984 Connection established from 127.0.0.1
INFO  11:11:55,496 | james.imapserver | ID=1404026984 Connection closed for 127.0.0.1
INFO  11:11:55,594 | james.imapserver | ID=1069957503 Connection established from 127.0.0.1
INFO  11:12:05,576 | james.imapserver | ID=1069957503 Connection closed for 127.0.0.1
INFO  11:12:05,582 | james.imapserver | ID=537019641 Connection established from 127.0.0.1
INFO  11:12:05,637 | james.imapserver | ID=537019641 Connection closed for 127.0.0.1
INFO  11:12:05,682 | james.imapserver | ID=608535743 Connection established from 127.0.0.1
