INFO  11:10:06,007 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:06,032 | james.mailprocessor | Mailet PostmasterAlias instantiated.
INFO  11:10:06,042 | james.mailprocessor | Matcher RelayLimit=30 instantiated.
INFO  11:10:06,065 | james.mailprocessor | Mailet Null instantiated.
INFO  11:10:06,075 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  11:10:06,084 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  11:10:06,085 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:06,087 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  11:10:07,431 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  11:10:07,450 | james.mailprocessor | Mailet SetMimeHeader instantiated.
INFO  11:10:07,466 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  11:10:07,508 | james.mailprocessor | Mailet RecipientToLowerCase instantiated.
INFO  11:10:07,511 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:07,548 | james.mailprocessor | Mailet RecipientRewriteTable instantiated.
INFO  11:10:07,550 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  11:10:07,748 | james.mailprocessor | Mailet LocalDelivery instantiated.
INFO  11:10:07,761 | james.mailprocessor | Matcher HostIsLocal instantiated.
INFO  11:10:07,765 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  11:10:07,770 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:07,811 | james.mailetcontext | maxRetries is larger than total number of attempts specified.  Increasing last delayTime with 19 attempts 
INFO  11:10:07,813 | james.mailetcontext | Delay of 21600000 msecs is now attempted: 20 times
INFO  11:10:07,843 | james.mailprocessor | Mailet RemoteDelivery instantiated.
INFO  11:10:09,136 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:09,224 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  11:10:09,427 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:09,453 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  11:10:09,664 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:09,703 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  11:10:09,902 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:09,941 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  11:10:10,483 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:10,566 | james.mailprocessor | Mailet DSNBounce instantiated.
